© 2000-2024 QIAGEN. All rights reserved.

Canonical Pathways	c1	c2	c3
CSDE1 Signaling Pathway	N/A	N/A	-1.0
Hematoma Resolution Signaling Pathway	N/A	-0.277	-0.707
Gαi Signaling	N/A	-0.378	-0.447
Role of NFAT in Cardiac Hypertrophy	N/A	N/A	0.816
Macrophage Alternative Activation Signaling Pathway	N/A	N/A	-0.816
Signaling by PTK6	N/A	0.816	N/A
Signaling by NOTCH1	N/A	0.333	0.447
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	N/A	-0.447	-0.333
DHCR24 Signaling Pathway	N/A	-0.378	0.378
Ion channel transport	N/A	-0.378	0.378
IL-12 Signaling and Production in Macrophages	N/A	0.0	-0.707
G alpha (i) signalling events	N/A	-0.707	0.0
Granzyme A Signaling	N/A	0.577	N/A
Xenobiotic Metabolism AHR Signaling Pathway	N/A	0.447	N/A
Neuregulin Signaling	N/A	0.447	N/A
G Beta Gamma Signaling	N/A	0.0	0.447
p53 Signaling	N/A	N/A	-0.447
Reelin Signaling in Neurons	N/A	N/A	-0.447
Cargo recognition for clathrin-mediated endocytosis	N/A	0.447	N/A
Renin-Angiotensin Signaling	N/A	0.0	-0.447
Semaphorin interactions	N/A	-0.447	N/A
Netrin Signaling	N/A	0.0	-0.378
Galactose catabolism	N/A	N/A	N/A
Glucocorticoid Receptor Signaling	N/A	N/A	N/A
Incretin synthesis, secretion, and inactivation	N/A	N/A	N/A
Oncogene Induced Senescence	N/A	N/A	N/A
Endosomal Sorting Complex Required For Transport (ESCRT)	N/A	N/A	N/A
Caspase activation via Death Receptors in the presence of ligand	N/A	N/A	N/A
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	N/A	N/A	N/A
Adenine and Adenosine Salvage I	N/A	N/A	N/A
Caveolar-mediated Endocytosis Signaling	N/A	N/A	N/A
Striated Muscle Contraction	N/A	N/A	N/A
Mitotic G1 phase and G1/S transition	N/A	N/A	N/A
Regulation of eIF4 and p70S6K Signaling	N/A	N/A	N/A
Xanthine and Xanthosine Salvage	N/A	N/A	N/A
Syndecan interactions	N/A	N/A	N/A
Glycolysis I	N/A	N/A	N/A
IL-23 Signaling Pathway	N/A	N/A	N/A
Iron homeostasis signaling pathway	N/A	N/A	N/A
G alpha (z) signalling events	N/A	N/A	N/A
GABA receptor activation	N/A	N/A	N/A
Nonhomologous End-Joining (NHEJ)	N/A	N/A	N/A
STAT3 Pathway	N/A	N/A	N/A
iNOS Signaling	N/A	N/A	N/A
Metabolism of cofactors	N/A	N/A	N/A
Smooth Muscle Contraction	N/A	N/A	N/A
Xenobiotic Metabolism Signaling	N/A	N/A	N/A
MyD88-independent TLR4 cascade	N/A	N/A	N/A
Phagosome Maturation	N/A	N/A	N/A
Glycogen metabolism	N/A	N/A	N/A
rRNA processing	N/A	N/A	N/A
Protein methylation	N/A	N/A	N/A
ERB2-ERBB3 Signaling	N/A	N/A	N/A
GPER1 signaling	N/A	N/A	N/A
Dermatan Sulfate Biosynthesis	N/A	N/A	N/A
Axonal Guidance Signaling	N/A	N/A	N/A
MyD88 cascade initiated on plasma membrane	N/A	N/A	N/A
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	N/A	N/A	N/A
RUNX1 regulates megakaryocyte differentiation and platelet function	N/A	N/A	N/A
Chondroitin Sulfate Biosynthesis	N/A	N/A	N/A
FLT3 Signaling	N/A	N/A	N/A
DNA damage-induced 14-3-3σ Signaling	N/A	N/A	N/A
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	N/A	N/A	N/A
Renal Cell Carcinoma Signaling	N/A	N/A	N/A
Estrogen-Dependent Breast Cancer Signaling	N/A	N/A	N/A
Ephrin B Signaling	N/A	0.0	N/A
Gene Silencing by RNA	N/A	N/A	N/A
Primary Immunodeficiency Signaling	N/A	N/A	N/A
Crosstalk between Dendritic Cells and Natural Killer Cells	N/A	N/A	N/A
Alpha-protein kinase 1 signaling pathway	N/A	N/A	N/A
IL-2 Signaling	N/A	N/A	N/A
NGF-stimulated transcription	N/A	N/A	N/A
Urate Biosynthesis/Inosine 5'-phosphate Degradation	N/A	N/A	N/A
RAB geranylgeranylation	N/A	N/A	N/A
MAP kinase activation	N/A	N/A	N/A
Signaling by CSF1 (M-CSF) in myeloid cells	N/A	N/A	N/A
Protein ubiquitination	N/A	N/A	N/A
Hepatic Fibrosis / Hepatic Stellate Cell Activation	N/A	N/A	N/A
α-Adrenergic Signaling	N/A	N/A	N/A
Pexophagy	N/A	N/A	N/A
Glycoaminoglycan-protein Linkage Region Biosynthesis	N/A	N/A	N/A
Tetrahydrobiopterin Biosynthesis II	N/A	N/A	N/A
Inflammasome pathway	N/A	N/A	N/A
Chondroitin and Dermatan Biosynthesis	N/A	N/A	N/A
Pyruvate Fermentation to Lactate	N/A	N/A	N/A
Signaling by FGFR3	N/A	N/A	N/A
IL-7 Signaling Pathway	N/A	N/A	N/A
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	N/A	N/A	N/A
Hypoxia Signaling in the Cardiovascular System	N/A	N/A	N/A
Pyrimidine Ribonucleotides De Novo Biosynthesis	N/A	N/A	N/A
Meiotic synapsis	N/A	N/A	N/A
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	N/A	N/A	N/A
Signaling by SCF-KIT	N/A	N/A	N/A
RAS processing	N/A	N/A	N/A
Interconversion of nucleotide di- and triphosphates	N/A	N/A	N/A
Interleukin-9 signaling	N/A	N/A	N/A
Toll Like Receptor 3 (TLR3) Cascade	N/A	N/A	N/A
UVC-Induced MAPK Signaling	N/A	N/A	N/A
MyD88 dependent cascade initiated on endosome	N/A	N/A	N/A
Folate Signaling Pathway	N/A	N/A	N/A
OAS antiviral response	N/A	N/A	N/A
Interleukin-3, Interleukin-5 and GM-CSF signaling	N/A	N/A	N/A
Th1 and Th2 Activation Pathway	N/A	N/A	N/A
Agrin Interactions at Neuromuscular Junction	N/A	N/A	N/A
Meiotic recombination	N/A	N/A	N/A
Neuroprotective Role of THOP1 in Alzheimer's Disease	N/A	N/A	N/A
Mitotic Prophase	N/A	N/A	N/A
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	N/A	N/A	N/A
Glycogen Biosynthesis II (from UDP-D-Glucose)	N/A	N/A	N/A
Sulfate Activation for Sulfonation	N/A	N/A	N/A
Guanine and Guanosine Salvage I	N/A	N/A	N/A
Interleukin-2 family signaling	N/A	N/A	N/A
Coronavirus Replication Pathway	N/A	N/A	N/A
MAPK6/MAPK4 signaling	N/A	N/A	N/A
Toll-like Receptor Signaling	N/A	N/A	N/A
Pyrimidine Ribonucleotides Interconversion	N/A	N/A	N/A
Dopamine Receptor Signaling	N/A	N/A	N/A
Glutamate Dependent Acid Resistance	N/A	N/A	N/A
Ceramide Signaling	N/A	N/A	N/A
Metallothioneins bind metals	N/A	N/A	N/A
Notch Signaling	N/A	N/A	N/A
Formation of paraxial mesoderm	N/A	N/A	N/A
DNA methylation	N/A	N/A	N/A
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	N/A	N/A	N/A
Putrescine Biosynthesis III	N/A	N/A	N/A
Oncostatin M Signaling	N/A	N/A	N/A
SPINK1 General Cancer Pathway	N/A	N/A	N/A
WNT/β-catenin Signaling	N/A	N/A	N/A
Circadian Rhythm Signaling	N/A	N/A	N/A
ATF6 (ATF6-alpha) activates chaperone genes	N/A	N/A	N/A
Embryonic Stem Cell Differentiation into Cardiac Lineages	N/A	N/A	N/A
Glutamate and glutamine metabolism	N/A	N/A	N/A
Regulation of TP53 Expression and Degradation	N/A	N/A	N/A
Melatonin Signaling	N/A	N/A	N/A
PRC2 methylates histones and DNA	N/A	N/A	N/A
Mitophagy	N/A	N/A	N/A
Growth hormone receptor signaling	N/A	N/A	N/A
TNFR1 Signaling	N/A	N/A	N/A
Role of JAK1 and JAK3 in γc Cytokine Signaling	N/A	N/A	N/A
Trafficking and processing of endosomal TLR	N/A	N/A	N/A
Signaling by Erythropoietin	N/A	N/A	N/A
UVA-Induced MAPK Signaling	N/A	N/A	N/A
Interleukin-12 family signaling	N/A	N/A	N/A
CNTF Signaling	N/A	N/A	N/A
Endometrial Cancer Signaling	N/A	N/A	N/A
Signaling by CSF3 (G-CSF)	N/A	N/A	N/A
Telomere Maintenance	N/A	N/A	N/A
NoRC negatively regulates rRNA expression	N/A	N/A	N/A
TRAIL signaling	N/A	N/A	N/A
Virus Entry via Endocytic Pathways	N/A	N/A	N/A
IL-1 Signaling	N/A	N/A	N/A
Melanocyte Development and Pigmentation Signaling	N/A	N/A	0.0
GABA Receptor Signaling	N/A	N/A	N/A
Response of EIF2AK1 (HRI) to heme deficiency	N/A	N/A	N/A
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	N/A	N/A	N/A
Glycosaminoglycan metabolism	N/A	N/A	N/A
Cristae formation	N/A	0.0	N/A
Leptin Signaling in Obesity	N/A	N/A	N/A
Dolichol and Dolichyl Phosphate Biosynthesis	N/A	N/A	N/A
Lactose synthesis	N/A	N/A	N/A
B-WICH complex positively regulates rRNA expression	N/A	N/A	N/A
Insulin processing	N/A	N/A	N/A
WNT/Ca+ pathway	N/A	N/A	N/A
Type II Diabetes Mellitus Signaling	N/A	N/A	N/A
Nucleosome assembly	N/A	N/A	N/A
Signaling by FGFR4	N/A	N/A	N/A
Purine Nucleotides Degradation II (Aerobic)	N/A	N/A	N/A
Interleukin-7 signaling	N/A	N/A	N/A
ERBB4 Signaling	N/A	N/A	N/A
Fanconi Anemia Pathway	N/A	N/A	N/A
Regulation of TP53 Activity through Methylation	N/A	N/A	N/A
SIRT1 negatively regulates rRNA expression	N/A	N/A	N/A
Formation of definitive endoderm	N/A	N/A	N/A
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	N/A	N/A	N/A
Angiopoietin Signaling	N/A	N/A	N/A
Aldosterone Signaling in Epithelial Cells	N/A	N/A	N/A
Activation of anterior HOX genes in hindbrain during early embryogenesis	N/A	N/A	N/A
mRNA Editing	N/A	N/A	N/A
NADH Repair	N/A	N/A	N/A
Tetrahydrobiopterin Biosynthesis I	N/A	N/A	N/A
TNFR2 Signaling	N/A	N/A	N/A
Unfolded Protein Response (UPR)	N/A	N/A	N/A
Regulation of the Epithelial-Mesenchymal Transition Pathway	N/A	N/A	N/A
