peak_chr_name	promoter_chr_name	ensemble	gene_name	promoter_strand	n_bases_overlap	baseMean_atac	log2FoldChange_atac	lfcSE_atac	stat_atac	pvalue_atac	padj_atac	baseMean_rna	log2FoldChange_rna	lfcSE_rna	stat_rna	pvalue_rna	padj_rna	cluster_id
chr12:121162917-121164340	chr12:121161576-121163776	ENSG00000122971.9_6	ACADS	+	859	12.88503961	-0.21620285	0.237856081	-0.908964988	0.363368607	0.892963493	1.709265162	0.521317318	0.483668003	1.077841236	0.281104614	0.675403831	c1
chr17:7117237-7119254	chr17:7118443-7120643	ENSG00000072778.20_11	ACADVL	+	811	23.03632522	-0.105496979	0.379745234	-0.277809883	0.781158304	0.990025828	20.66284666	0.369419273	0.445591786	0.829053148	0.407074334	0.761679691	c1
chr15:89346442-89347130	chr15:89344666-89346866	ENSG00000157766.19_13	ACAN	+	424	2.182786358	0.015080608	0.585616559	0.025751677	0.979455405	0.999146514	0	NA	NA	NA	NA	NA	c1
chr17:7239737-7239900	chr17:7237847-7240047	ENSG00000072818.12_11	ACAP1	+	163	3.293335788	1.106093155	0.483933419	2.285630859	0.022275863	0.215798531	0.81202694	3.117577039	1.518623062	2.052897205	0.040082548	NA	c1
chr3:195162500-195164526	chr3:195163572-195165772	ENSG00000114331.16_14	ACAP2	-	954	36.22035481	-0.360057956	0.310052119	-1.161282035	0.245527223	0.795868006	6.914246306	-0.498631314	0.355474125	-1.402721828	0.160699806	0.560009141	c1
chr11:107985857-107987199	chr11:107985421-107987621	ENSG00000075239.14_6	ACAT1	+	1342	7.340124056	-1.090123605	0.454694958	-2.397483378	0.01650813	0.177143016	3.891019386	-0.202073347	0.446474984	-0.452597245	0.650838783	0.88663488	c1
chr6:160182227-160183997	chr6:160181076-160183276	ENSG00000120437.9_6	ACAT2	+	1049	29.40275425	-0.326967275	0.280684473	-1.164892636	0.244062455	0.794099254	4.316454774	-1.224523694	0.545036158	-2.246683409	0.024660267	0.315048573	c1
chr1:226373440-226375016	chr1:226374241-226376441	ENSG00000182827.9_8	ACBD3	-	775	10.84564945	0.52206478	0.209453048	2.492514599	0.012684212	0.148553222	5.691739394	0.007673216	0.334721137	0.022924206	0.981710732	0.993931374	c1
chr17:43209418-43210810	chr17:43207966-43210166	ENSG00000181513.15_11	ACBD4	+	748	13.3577143	-0.039030455	0.240692674	-0.16215888	0.87118074	0.996070959	2.702213874	1.146527243	0.395777005	2.896902115	0.003768673	0.152426211	c1
chr10:27528996-27532435	chr10:27531774-27533974	ENSG00000107897.20_14	ACBD5	-	661	14.48091834	0.304874476	0.235799238	1.292940886	0.196031505	0.731490506	2.661855386	0.230995055	0.425868202	0.542409727	0.58753628	0.857201312	c1
chr10:15130163-15131015	chr10:15130574-15132774	ENSG00000176244.7_7	ACBD7	-	441	13.50092341	-0.814191656	0.302032129	-2.695712074	0.007023835	0.099294788	1.694354272	-0.997448591	0.776738469	-1.284149853	0.199089528	0.600664872	c1
chr11:44087229-44088635	chr11:44085474-44087674	ENSG00000110455.14_11	ACCS	+	445	11.81238408	-0.394021101	0.340629532	-1.156743806	0.247377046	0.797774383	2.21185989	0.061421761	0.517983104	0.118578696	0.905609145	0.973177369	c1
chr16:67695781-67696017	chr16:67694512-67696712	ENSG00000102977.18_16	ACD	-	236	6.104177841	0.322536447	0.282089605	1.143382956	0.252879626	0.803699581	3.827139594	0.67747526	0.354342909	1.911919903	0.055886468	0.406821092	c1
chr17:61553794-61555426	chr17:61552421-61554621	ENSG00000159640.17_13	ACE	+	827	11.5452973	-0.153018933	0.257282494	-0.59475066	0.552010153	0.960851311	0.996395824	0.117354549	0.785042728	0.149488104	0.881168496	0.965996787	c1
chr9:19408075-19409802	chr9:19407006-19409206	ENSG00000177076.6_6	ACER2	+	1131	22.62911444	-0.420366664	0.253189373	-1.660285576	0.096857016	0.524630789	2.755769535	1.058698191	0.434721932	2.435345709	0.014877568	0.26457723	c1
chr11:76571465-76572840	chr11:76569902-76572102	ENSG00000078124.13_8	ACER3	+	637	18.173252	0.05423117	0.230610872	0.235163109	0.814082138	0.992353011	1.682535073	-0.474630626	0.651073245	-0.728997282	0.466003325	0.794742454	c1
chr7:100494874-100495506	chr7:100494393-100496593	ENSG00000087085.16_13	ACHE	-	632	4.212411025	0.281518242	0.320815236	0.877508952	0.380210258	0.902305149	0.485038898	1.19031881	1.771377787	0.671973431	0.501600611	NA	c1
chr1:159171261-159171604	chr1:159171096-159173296	ENSG00000213088.12_14	ACKR1	+	343	2.790889675	-0.717593629	0.609365764	-1.177607393	0.238953161	0.78805398	1.512394762	-2.15567105	1.542400285	-1.397608047	0.1622308	0.561193433	c1
chr3:42844791-42847000	chr3:42844243-42846443	ENSG00000144648.16_10	ACKR2	+	1652	11.73223622	-0.196274449	0.277153239	-0.708180246	0.478833332	0.942397164	0.088363201	-0.138777112	3.262372161	-0.042538713	0.966069251	NA	c1
chr2:237476403-237479199	chr2:237474429-237476629	ENSG00000144476.6_9	ACKR3	+	226	4.51144748	-0.264182722	0.423254505	-0.6241699	0.532516012	0.957472646	1.210216317	-1.976983802	1.301282306	-1.51925819	0.128697519	0.527750856	c1
chr17:40085985-40087687	chr17:40086594-40088794	ENSG00000131473.17_11	ACLY	-	1093	8.30475688	-0.335341044	0.283663871	-1.182177494	0.237135281	0.78568754	10.11792136	0.37413891	0.397163018	0.942028568	0.346178014	0.721314273	c1
chr9:32383958-32385277	chr9:32382600-32384800	ENSG00000122729.19_6	ACO1	+	842	17.18375763	-0.074757295	0.204318417	-0.365886229	0.714449973	0.985030077	3.256955533	-0.005684978	0.400761413	-0.014185443	0.988682033	0.996778827	c1
chr14:74003327-74005065	chr14:74001846-74004046	ENSG00000184227.8_6	ACOT1	+	719	4.884686823	0.647054811	0.621105286	1.041779592	0.297513878	0.845373047	0.453981616	0.88392704	0.93605383	0.944312188	0.34501014	NA	c1
chr1:55007434-55008734	chr1:55005929-55008129	ENSG00000162390.18_6	ACOT11	+	695	17.90825497	-0.388263916	0.280499058	-1.384189734	0.166300366	0.683658824	1.905673408	0.402587238	0.512903217	0.784918529	0.432501338	0.773414881	c1
chr5:80689501-80690509	chr5:80689797-80691997	ENSG00000172497.9_7	ACOT12	-	712	3.884336247	-0.329297843	0.432007445	-0.762250389	0.445910578	0.931128576	0.057083595	0.819523876	3.262372161	0.251204901	0.801655695	NA	c1
